monthyear,crimecount,housing price indexes,consumer_price_index,max_rain,max_snow,max_temperature,min_temperature
2012-08,2959,95.9,119.4,170,0,33.3,6.1
2012-09,2808,95.8,119.3,169.4,0,29.3,0
2012-10,2684,95.9,119.3,287.6,2,23.7,-5.9
2012-11,2852,95.5,118.9,350.8,38.4,18.4,-14.3
2012-12,2507,95.2,118.3,288,89.9,14.9,-17.8
2013-01,2381,95.2,118.5,283.6,121.9,15.3,-17.8
2013-02,2165,95.2,119.8,274.6,60.8,18.4,-16.1
2013-03,2657,95.1,120,232.6,52.3,19.4,-9.4
2013-04,2645,95.1,118.5,172.3,4.9,25,-3.3
2013-05,2852,94.9,119.3,144,0,30.4,0.6
2013-06,2850,94.7,119,135.8,0,31.2,3.9
2013-07,2891,95,119.3,89.6,0,34.4,6.7
2013-08,2861,94.6,119.5,170,0,33.3,6.1
2013-09,2668,94.6,119.6,169.4,0,29.3,0
2013-10,2811,94.4,119.3,287.6,2,23.7,-5.9
2013-11,2766,94.3,119,350.8,38.4,18.4,-14.3
2013-12,2637,94.1,118.5,288,89.9,14.9,-17.8
2014-01,2691,94.1,118.7,283.6,121.9,15.3,-17.8
2014-02,2383,94.1,119.5,274.6,60.8,18.4,-16.1
2014-03,2712,94,120.3,232.6,52.3,19.4,-9.4
2014-04,2701,93.6,120.7,172.3,4.9,25,-3.3
2014-05,3138,93.5,121.2,144,0,30.4,0.6
2014-06,3090,93.3,121.4,135.8,0,31.2,3.9
2014-07,3447,93.2,121.2,89.6,0,34.4,6.7
2014-08,3578,93.5,121.2,170,0,33.3,6.1
2014-09,3347,93.5,121.2,169.4,0,29.3,0
2014-10,3312,93.8,120.6,287.6,2,23.7,-5.9
2014-11,2901,93.7,120.5,350.8,38.4,18.4,-14.3
2014-12,2802,93.6,119.6,288,89.9,15.1,-17.8
2015-01,2868,93.5,119.7,283.6,121.9,15.3,-17.8
2015-02,2558,93.5,120.6,274.6,60.8,18.4,-16.1
2015-03,2692,93.5,121.5,232.6,52.3,19.4,-9.4
2015-04,2746,94.1,121.3,172.3,4.9,25,-3.3
2015-05,3016,94.1,122.4,144,0,30.4,0.6
2015-06,3052,94.3,122.4,135.8,0,31.2,3.9
2015-07,3474,94.7,122.5,89.6,0,34.4,6.7
2015-08,3240,94.7,122.7,170,0,33.3,6.1
2015-09,3104,95.1,122.7,169.4,0,29.3,0
2015-10,3473,95.4,122.4,287.6,2,23.7,-5.9
2015-11,3473,95.8,122.7,350.8,38.4,18.4,-14.3
2015-12,3341,96,122.4,288,89.9,15.1,-17.8
2016-01,3609,96.4,122.7,283.6,121.9,15.3,-17.8
2016-02,3076,97.2,122.8,274.6,60.8,18.4,-16.1
2016-03,3473,97.6,124,232.6,52.3,19.4,-9.4
2016-04,3394,97.8,124,172.3,4.9,25,-3.3
2016-05,3747,98.9,124.9,144,0,30.4,0.6
2016-06,3676,99.3,125.3,135.8,0,31.2,3.9
2016-07,3743,99.8,125.7,89.6,0,34.4,6.7
2016-08,3638,99.8,125.6,170,0,33.3,6.1
2016-09,3345,100.1,125.4,169.4,0,29.3,0
2016-10,3384,100.3,125.4,287.6,2,23.7,-5.9
2016-11,3094,100,124.6,350.8,38.4,19.4,-14.3
2016-12,2746,100,124.7,288,89.9,15.1,-17.8
2017-01,2628,99.9,125.3,283.6,121.9,15.3,-17.8
2017-02,2580,99.8,125.5,274.6,60.8,18.4,-16.1
2017-03,3286,100.5,126.1,232.6,52.3,19.4,-9.4
2017-04,3159,101.7,126.3,172.3,4.9,25,-3.3
2017-05,3356,103.9,127.1,144,0,30.4,0.6
2017-06,3360,105.5,127.5,135.8,0,31.2,3.9
2017-07,3601,107.6,128.1,89.6,0,34.4,6.7
2017-08,3665,107.6,128.6,170,0,33.3,6.1
2017-09,3563,108.4,128.3,169.4,0,29.3,0
2017-10,3677,108.7,128.4,287.6,2,23.7,-5.9
2017-11,3636,108.7,128.4,350.8,38.4,19.4,-14.3
2017-12,3504,108.9,127.8,288,89.9,15.1,-17.8
2018-01,3706,108.9,128.7,283.6,121.9,15.3,-17.8
2018-02,2979,108.9,129.6,274.6,60.8,18.4,-16.1
2018-03,3326,108.9,130.1,232.6,52.3,19.4,-9.4
2018-04,3449,108.9,130.3,172.3,4.9,25,-3.3
2018-05,3383,108.9,130.9,144,0,30.4,0.6
2018-06,3493,109.1,131.3,135.8,0,31.2,3.9
2018-07,3371,108.9,132.3,89.6,0,34.4,6.7
2018-08,3593,108.7,132.2,170,0,33.3,6.1
2018-09,3553,109.1,131.7,169.4,0,29.3,0
2018-10,3437,109.1,131.9,287.6,2,23.7,-5.9
2018-11,3410,108.8,131.4,350.8,38.4,19.4,-14.3
2018-12,3506,108.7,131.7,288,89.9,15.1,-17.8
2019-01,3569,108.6,131.7,283.6,121.9,15.3,-17.8
2019-02,2909,108.3,132.4,274.6,60.8,18.4,-16.1
2019-03,3350,108.4,133.3,232.6,52.3,19.4,-9.4
2019-04,3458,108.2,133.6,172.3,4.9,25,-3.3
2019-05,3784,107.9,134.4,144,0,30.4,0.6
2019-06,3565,107.8,134.8,135.8,0,31.2,3.9
2019-07,4037,107.3,135.2,89.6,0,34.4,6.7
2019-08,4206,107.3,135,170,0,33.3,6.1
2019-09,4165,106.7,134.7,169.4,0,29.3,0
2019-10,4220,106.4,134.9,287.6,2,23.7,-5.9
2019-11,3870,105.8,134.4,350.8,38.4,19.4,-14.3
2019-12,3638,106.2,134.2,288,89.9,15.1,-17.8
2020-01,3719,106,134.6,283.6,121.9,15.3,-17.8
2020-02,3574,106.4,135.3,274.6,60.8,18.4,-16.1
2020-03,3416,106.9,134.7,232.6,52.3,19.4,-9.4
2020-04,2865,106.9,133.8,172.3,4.9,25,-3.3
2020-05,2032,106.9,134.1,144,0,30.4,0.6
2020-06,2124,107,135.1,135.8,0,31.2,3.9
2020-07,2555,107.8,134.8,89.6,0,34.4,6.7
2020-08,2774,108.9,134.7,170,0,33.3,6.1
2020-09,2802,111.1,134.8,169.4,0,29.3,0
2020-10,3011,112.5,135.3,287.6,2,23.7,-5.9
2020-11,2457,112.8,136,350.8,38.4,19.4,-14.3
2020-12,2421,112.8,135.3,288,89.9,15.1,-17.8
2021-01,2572,113.1,136,283.6,121.9,15.3,-17.8
2021-02,2139,117.6,136.3,274.6,60.8,18.4,-16.1
2021-03,2099,118.2,137.4,232.6,52.3,19.4,-9.4
2021-04,2162,120,137.6,172.3,4.9,25,-3.3
2021-05,2384,120.9,137.3,144,0,30.4,0.6
2021-06,2298,120.5,138.1,135.8,0,32.4,3.9
2021-07,2570,120.9,139,89.6,0,34.4,6.7
2021-08,2625,121.5,139.2,170,0,33.3,6.1
2021-09,2462,122.6,139.6,169.4,0,29.3,0
2021-10,2347,123.8,140.4,287.6,2,23.7,-5.9
2021-11,2409,124.7,140.4,350.8,38.4,19.4,-14.3
2021-12,2207,124.8,140.5,288,89.9,15.1,-17.8
2022-01,2304,127.1,138.5,283.6,121.9,15.3,-17.8
2022-02,744,128,142.7,274.6,60.8,18.4,-16.1
